County,Year,Population
Franklin,2002,50924
Fulton,2002,54988
Genesee,2002,60289
Greene,2002,48177
Hamilton,2002,5232
Herkimer,2002,63971
Jefferson,2002,111112
Kings,2002,2480559
Lewis,2002,26618
Livingston,2002,65118
Madison,2002,70261
Monroe,2002,741391
Montgomery,2002,49298
Nassau,2002,1339572
New York,2002,1555382
Niagara,2002,218127
Oneida,2002,234078
Onondaga,2002,459484
Ontario,2002,101763
Orange,2002,352975
Orleans,2002,43660
Oswego,2002,122496
Otsego,2002,62093
Putnam,2002,98263
Queens,2002,2224507
Rensselaer,2002,153040
Richmond,2002,452813
Rockland,2002,293728
St. Lawrence,2002,111292
Saratoga,2002,206446
Schenectady,2002,147199
Schoharie,2002,31785
Schuyler,2002,19179
Seneca,2002,35046
Steuben,2002,99583
Suffolk,2002,1456745
Sullivan,2002,74452
Tioga,2002,51992
Tompkins,2002,98227
Ulster,2002,180128
Warren,2002,63774
Washington,2002,61152
Wayne,2002,93735
Westchester,2002,935219
Wyoming,2002,43007
Yates,2002,24688
Albany,2001,296232
Allegany,2001,50079
Bronx,2001,1346555
Broome,2001,200868
Cattaraugus,2001,83346
Cayuga,2001,81313
Chautauqua,2001,138730
Chemung,2001,90780
Chenango,2001,51109
Clinton,2001,80320
Columbia,2001,62953
Cortland,2001,48903
Delaware,2001,47771
Dutchess,2001,284712
Erie,2001,946515
Essex,2001,38893
Franklin,2001,50925
Fulton,2001,54904
Genesee,2001,60321
Greene,2001,47976
Hamilton,2001,5312
Herkimer,2001,64274
Jefferson,2001,111422
Kings,2001,2477252
Lewis,2001,26951
Livingston,2001,65088
Madison,2001,69852
Monroe,2001,739891
Montgomery,2001,49472
Nassau,2001,1337086
New York,2001,1555729
Niagara,2001,218552
Oneida,2001,234247
Onondaga,2001,458576
Ontario,2001,100819
Orange,2001,347674
Orleans,2001,43898
Oswego,2001,122269
Otsego,2001,61924
Putnam,2001,97055
Queens,2001,2231316
Rensselaer,2001,152700
Richmond,2001,448961
Rockland,2001,290613
St. Lawrence,2001,111497
Saratoga,2001,203974
Schenectady,2001,146334
Schoharie,2001,31794
Schuyler,2001,19175
Seneca,2001,34764
Steuben,2001,99216
Suffolk,2001,1442488
Sullivan,2001,74143
Tioga,2001,51712
Tompkins,2001,97458
Ulster,2001,178440
Warren,2001,63406
Washington,2001,61142
Wayne,2001,93794
Westchester,2001,931577
Wyoming,2001,43061
Yates,2001,24725
Albany,2000,"280,096"
Allegany,2000,"45,561"
Bronx,2000,"1,288,234"
Broome,2000,"191,350"
Cattaraugus,2000,"80,831"
Cayuga,2000,"77,240"
Chautauqua,2000,"133,871"
Chemung,2000,"85,395"
Chenango,2000,"50,092"
Clinton,2000,"72,662"
Columbia,2000,"60,623"
Cortland,2000,"45,340"
Delaware,2000,"46,003"
Dutchess,2000,"263,568"
Erie,2000,"922,582"
Essex,2000,"35,998"
Franklin,2000,"44,488"
Fulton,2000,"53,282"
Genesee,2000,"58,937"
Greene,2000,"44,572"
Hamilton,2000,"5,343"
Herkimer,2000,"63,206"
Jefferson,2000,"103,444"
Kings,2000,"2,434,939"
Lewis,2000,"26,616"
Livingston,2000,"57,842"
Madison,2000,"64,551"
Monroe,2000,"711,296"
Montgomery,2000,"48,500"
Nassau,2000,"1,314,370"
New York,2000,"1,491,423"
Niagara,2000,"215,623"
Oneida,2000,"220,539"
Onondaga,2000,"445,363"
Ontario,2000,"97,231"
Orange,2000,"328,980"
Orleans,2000,"40,653"
Oswego,2000,"117,728"
Otsego,2000,"57,223"
Putnam,2000,"94,052"
Queens,2000,"2,203,306"
Rensselaer,2000,"147,472"
Richmond,2000,"436,628"
Rockland,2000,"281,436"
St. Lawrence,2000,"196,387"
Saratoga,2000,"142,308"
Schenectady,2000,"29,789"
Schoharie,2000,"18,529"
Schuyler,2000,"31,687"
Seneca,2000,"100,744"
Steuben,2000,"96,858"
Suffolk,2000,"1,393,546"
Sullivan,2000,"70,864"
Tioga,2000,"51,149"
Tompkins,2000,"84,541"
Ulster,2000,"169,367"
Warren,2000,"61,889"
Washington,2000,"57,335"
Wayne,2000,"91,968"
Westchester,2000,"902,177"
Wyoming,2000,"38,919"
Yates,2000,"23,353"
Albany,1999,294692
Allegany,1999,49997
Bronx,1999,1317895
Broome,1999,200881
Cattaraugus,1999,84050
Cayuga,1999,82034
Chautauqua,1999,140087
Chemung,1999,91284
Chenango,1999,51286
Clinton,1999,79875
Columbia,1999,63217
Cortland,1999,48734
Delaware,1999,48069
Dutchess,1999,277586
Erie,1999,952546
Essex,1999,38664
Franklin,1999,51061
Fulton,1999,55011
Genesee,1999,60554
Greene,1999,47975
Hamilton,1999,5325
Herkimer,1999,64462
Jefferson,1999,112081
Kings,1999,2447352
Lewis,1999,26914
Livingston,1999,64243
Madison,1999,69523
Monroe,1999,733679
Montgomery,1999,49918
Nassau,1999,1330815
New York,1999,1535624
Niagara,1999,220556
Oneida,1999,235412
Onondaga,1999,458575
